date,yyyy_mm,day,product,theory,infor,present,missing_vs_theory,missing_vs_infor
2020-09-23,2020-09,23,VNP14IMG,240,240,240,0,0
2020-09-24,2020-09,24,VNP14IMG,240,225,225,15,0
2020-09-25,2020-09,25,VNP14IMG,240,240,240,0,0
2020-09-26,2020-09,26,VNP14IMG,240,240,240,0,0
2020-09-27,2020-09,27,VNP14IMG,240,240,240,0,0
2020-09-28,2020-09,28,VNP14IMG,240,240,240,0,0
2020-09-29,2020-09,29,VNP14IMG,240,240,240,0,0
2020-09-30,2020-09,30,VNP14IMG,240,240,240,0,0
2020-10-01,2020-10,1,VNP14IMG,240,240,240,0,0
2020-10-02,2020-10,2,VNP14IMG,240,240,240,0,0
2020-10-03,2020-10,3,VNP14IMG,240,240,240,0,0
2020-10-04,2020-10,4,VNP14IMG,240,240,240,0,0
2020-10-05,2020-10,5,VNP14IMG,240,240,240,0,0
2020-10-06,2020-10,6,VNP14IMG,240,240,240,0,0
2020-10-07,2020-10,7,VNP14IMG,240,240,240,0,0
2020-10-08,2020-10,8,VNP14IMG,240,240,240,0,0
2020-10-09,2020-10,9,VNP14IMG,240,240,240,0,0
2020-10-10,2020-10,10,VNP14IMG,240,240,240,0,0
2020-10-11,2020-10,11,VNP14IMG,240,240,240,0,0
2020-10-12,2020-10,12,VNP14IMG,240,240,240,0,0
2020-10-13,2020-10,13,VNP14IMG,240,240,240,0,0
2020-10-14,2020-10,14,VNP14IMG,240,240,240,0,0
2020-10-15,2020-10,15,VNP14IMG,240,240,240,0,0
2020-10-16,2020-10,16,VNP14IMG,240,240,240,0,0
2020-10-17,2020-10,17,VNP14IMG,240,240,240,0,0
2020-10-18,2020-10,18,VNP14IMG,240,240,240,0,0
2020-10-19,2020-10,19,VNP14IMG,240,240,240,0,0
2020-10-20,2020-10,20,VNP14IMG,240,240,240,0,0
2020-10-21,2020-10,21,VNP14IMG,240,240,240,0,0
2020-10-22,2020-10,22,VNP14IMG,240,240,240,0,0
2020-10-23,2020-10,23,VNP14IMG,240,240,240,0,0
2020-10-24,2020-10,24,VNP14IMG,240,240,240,0,0
2020-10-25,2020-10,25,VNP14IMG,240,240,240,0,0
2020-10-26,2020-10,26,VNP14IMG,240,240,240,0,0
2020-10-27,2020-10,27,VNP14IMG,240,240,240,0,0
2020-10-28,2020-10,28,VNP14IMG,240,240,240,0,0
2020-10-29,2020-10,29,VNP14IMG,240,240,240,0,0
2020-10-30,2020-10,30,VNP14IMG,240,240,240,0,0
2020-10-31,2020-10,31,VNP14IMG,240,240,240,0,0
2020-11-01,2020-11,1,VNP14IMG,240,240,240,0,0
2020-11-02,2020-11,2,VNP14IMG,240,240,240,0,0
2020-11-03,2020-11,3,VNP14IMG,240,240,240,0,0
2020-11-04,2020-11,4,VNP14IMG,240,240,240,0,0
2020-11-05,2020-11,5,VNP14IMG,240,240,240,0,0
2020-11-06,2020-11,6,VNP14IMG,240,240,240,0,0
2020-11-07,2020-11,7,VNP14IMG,240,240,240,0,0
2020-11-08,2020-11,8,VNP14IMG,240,240,240,0,0
2020-11-09,2020-11,9,VNP14IMG,240,240,240,0,0
2020-11-10,2020-11,10,VNP14IMG,240,240,240,0,0
2020-11-11,2020-11,11,VNP14IMG,240,240,240,0,0
2020-11-12,2020-11,12,VNP14IMG,240,240,240,0,0
2020-11-13,2020-11,13,VNP14IMG,240,240,240,0,0
2020-11-14,2020-11,14,VNP14IMG,240,240,240,0,0
2020-11-15,2020-11,15,VNP14IMG,240,240,240,0,0
2020-11-16,2020-11,16,VNP14IMG,240,240,240,0,0
2020-11-17,2020-11,17,VNP14IMG,240,240,240,0,0
2020-11-18,2020-11,18,VNP14IMG,240,240,240,0,0
2020-11-19,2020-11,19,VNP14IMG,240,240,240,0,0
2020-11-20,2020-11,20,VNP14IMG,240,240,240,0,0
2020-11-21,2020-11,21,VNP14IMG,240,240,240,0,0
2020-11-22,2020-11,22,VNP14IMG,240,240,240,0,0
2020-11-23,2020-11,23,VNP14IMG,240,240,240,0,0
